2018-01-25 10:39:45 - PHP Warning:  unlink(E:/xampp71/htdocs/projects/opencart_multivendor/system/storage/cache/cache.catalog.language.1516880385): Resource temporarily unavailable in E:\xampp71\htdocs\projects\opencart_multivendor\system\library\cache\file.php on line 68
2018-01-25 10:40:33 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp71\htdocs\projects\opencart_multivendor\system\library\mail\mail.php on line 77
2018-01-25 10:41:24 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp71\htdocs\projects\opencart_multivendor\system\library\mail\mail.php on line 77
2018-01-25 10:41:25 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp71\htdocs\projects\opencart_multivendor\system\library\mail\mail.php on line 77
2018-01-25 10:41:26 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp71\htdocs\projects\opencart_multivendor\system\library\mail\mail.php on line 77
2018-01-25 10:48:20 - PHP Warning:  Creating default object from empty value in E:\xampp71\htdocs\projects\opencart_multivendor\admin\controller\report\seller_transactions.php on line 459
2018-01-25 10:54:50 - PHP Warning:  Illegal string offset 'pamount' in E:\xampp71\htdocs\projects\opencart_multivendor\admin\controller\sale\seller.php on line 535
2018-01-25 10:54:50 - PHP Warning:  Illegal string offset 'pamount' in E:\xampp71\htdocs\projects\opencart_multivendor\admin\controller\sale\seller.php on line 535
2018-01-25 10:54:56 - PHP Warning:  Illegal string offset 'pamount' in E:\xampp71\htdocs\projects\opencart_multivendor\admin\controller\report\seller_transactions.php on line 390
2018-01-25 10:54:56 - PHP Warning:  Illegal string offset 'pamount' in E:\xampp71\htdocs\projects\opencart_multivendor\admin\controller\report\seller_transactions.php on line 407
2018-01-25 11:46:55 - PHP Notice:  Undefined variable: product_id in E:\xampp71\htdocs\projects\opencart_multivendor\catalog\controller\product\product.php on line 702
2018-01-25 11:47:09 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp71\htdocs\projects\opencart_multivendor\system\library\mail\mail.php on line 77
2018-01-25 11:47:10 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp71\htdocs\projects\opencart_multivendor\system\library\mail\mail.php on line 77
2018-01-25 11:47:11 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp71\htdocs\projects\opencart_multivendor\system\library\mail\mail.php on line 77
